unidade;data;texto
5àsec Jardim Marajoara;10/05/19 22:10;Q2 : Atendimento excelente sempre!! | Q4 : A parte da calçada.. a rampa perto do poste é alta e arrasta o carro... seria bom se fizessem a rampa mais suave.
5àsec Guarulhos Parque Shopping Maia;10/05/19 21:44;Q2 : Atendimento exemplar e pontualidade | Q4 : Entrega a domícilio
5àsec Vila Mariana;10/05/19 21:43;Q2 : A roupa não estava pronta no horário indicado pela recepção
5àsec Marechal Barbacena;10/05/19 21:22;Q2 : O atendimento é a prestação de serviços  | Q4 : Estou contente como está.
5àsec Faria Lima;10/05/19 21:17;Q2 : Muito bom | Q4 : Nos tempos passados somente uma peça de lã encolheu bastante, o resto foi sempre perfeito.
5àsec Mergenthaler;10/05/19 19:16;Q2 : Atendimento excelente | Q4 : nada
5àsec Alphaville Bradesco Seguros;10/05/19 18:09;Q2 : A camisa do meu marido ainda ficou suja | Q4 : Verificar se a peça está realmente limpa, o blazer, por exemplo, ficou muito bom, pois eu mostrei a mancha, mas a camisa não. O restante tudo ok obrigada.
5àsec Shopping Boulevard Tatuapé;10/05/19 17:52;Q2 : Tudo ótimo | Q4 : Promoçoes de camisas
5àsec Vila Carrão;10/05/19 17:19;Q2 : gentileza no atendimento e qualidade no sewrviço | Q4 : deixei um tapete achei muito 15 dias pra entrega
5àsec Oscar Freire;10/05/19 17:11;Q4 : Preço c desconto p pagamento antecipado
5àsec Santa Cecilia;10/05/19 17:09;Q2 : Sempre recebo ótimo atendimento pelos profissionais. Pontualidade e qualidade na limpeza. A unidade da  Condelheiro Brotero é excelente. Nunca fui a outra unidade. | Q4 : Já está perfeito. Sinceramente. Muito obrigada.
5àsec Moema Passaros;10/05/19 17:04;Q2 : Qualidade do serviço e cordialidade no atendimento
5àsec Berrini;10/05/19 16:49;Q2 : Serviço excelente  | Q4 : Está ótimo. Nota 10
5àsec Oscar Freire;10/05/19 16:48;"Q2 : Os preços estão elevados, sendo que a promoção para pacotes de camisas se encerrou. A nova promoção não é vantajosa para quem utilizava a lavanderia para lavagem de roupas sociais. Acredito que deveria existir uma promoção para a peça de roupa que vocês mais lavam (segundo DataFolha). Apesar de ser cliente há muito tempo, estou cogitando trocar de lavanderia."
5àsec Moema Passaros;10/05/19 16:44;Q2 : tudo perfeito | Q4 : nada
5àsec Shopping Eldorado;10/05/19 16:31;Q2 : Super bem atendidos pela Damiana a unidade Eldorado.
5àsec Shopping Eldorado;10/05/19 16:12;Q2 : Bom atendimento
5àsec Moema Indios;10/05/19 16:12;Q2 : Minhas roupas foram prometidas para as 13:00 e depois de insistir muito foram entregues as 15:30. Piada. | Q4 : Tudo
5àsec Santa Cecilia;10/05/19 16:08;Q2 : Mais uma vez solicito entrega e não realizam. Da penúltima vez a entrega foi feita com 10 dias de atraso após reclamação por telefone e dessa última vez tive que buscar pessoalmente após 5 dias de atraso. | Q4 : Cumprir prazo acordado
5àsec Santa Cecilia;10/05/19 16:05;Q2 : Tirando o baita atraso para entregar de volta, gosto muito do serviço de vocês.
5àsec Rua Da Mooca;10/05/19 16:04;Q2 : Estava indo para um evento e meu paletó estava amassado e fui atendido prontamente.  | Q4 : Sem nada para apontar
5àsec Freguesia Do O;10/05/19 12:34;Q2 : Atendimento e qualidade no serviço
5àsec Portal Do Morumbi;10/05/19 02:51;Q2 : bom atendimento e simpatia.  | Q4 : dar descontos
5àsec Mascote II;10/05/19 01:37;Q2 : Atendimento exelente atendimento | Q4 : Atentimento exelente roupas lindas
5àsec Guarulhos Parque Shopping Maia;10/05/19 01:22;Q2 : O terno veio com uma mancha.
5àsec Sumare Posto Texaco;10/05/19 00:40;"Q2 : Sou cliente há mais de 4 anos e é um desrespeito com o cliente o aumento abusivo dos preços dos pacotes pré pagos e como se não bastasse isso, excluíram categorias de peças no plano que eu pago e aumentaram ainda mais o valor do plano acima que contemplam as peças que eu lavo. Simplesmente um absurdo!!! Vcs precisam rever com URGÊNCIA para não perderem clientes ainda mais. O ponto positivo desta pesquisa é que gostaria de acrescentar o atendimento impecável e atencioso como sempre da funcionária Vanusa!!! | Q4 : Conforme descrito acima, vcs precisam repensar a política de preços para lavagem das peças."
5àsec Jardim Marajoara 2 Posto Shell;09/05/19 21:21;Q2 : O atendimento é e excepcional, a Áurea é muito atenciosa, profissional excelente.
5àsec Penha;09/05/19 20:11;Q2 : O BOM ATENDIMENTO E UM serviço  BEM executado. | Q4 : POR ENQUANTO ESTÁ  ÓTIMO.
5àsec Shopping Analia Franco;09/05/19 17:36;Q2 : Esqueceram de entregar minhas peças ao domicílio  | Q4 : Mais atenção com o consumidor. Desconto no próximo serviço como compensação
5àsec Ministro Rocha Azevedo;09/05/19 17:20;Q2 : QUALIDADE,PONTUALIDADE
5àsec Mergenthaler;09/05/19 17:11;Q2 : Demora na entrega e preço alto | Q4 : Rapidez ou entrega pontualizada
5àsec Shopping Center Norte;09/05/19 16:35;Q2 : foi ok, não me encantou mas tbm não foi ruim
5àsec Alameda Campinas;09/05/19 16:24;Q2 : O serviço foi ótimo! Só achei bastante demorado..: | Q4 : Serviço mais rápido!
5àsec Campo Belo;09/05/19 16:16;Q2 : Preços são muito altos | Q4 : Penso que vocês deveriam fazer mais pacotes de preços para pessoas que lavam peças mais sofisticadas, mulheres executivas. Vcs tem pacotes de camisa e por kilo.
5àsec Alfonso Bovero;09/05/19 16:11;Q2 : limpeza foi satisfatoria
5àsec Faria Lima;09/05/19 16:07;Q2 : O serviço é muito bom de limpeza, porém demoraram para acha uma peça. Tive que retornar depois para buscar e isso gerou muito transtorno. | Q4 : Organização interna e esclarecimento sobre os preços.
5àsec Santa Cecilia;09/05/19 15:17;Q2 : Porque atendem bem | Q4 : Está tudo certo
5àsec Parque Shopping Barueri;09/05/19 12:36;Q2 : Bom atendimento
5àsec Pastorinho;09/05/19 05:51;Q2 : Atendimento de primeiríssima qualidade, atendente super atenciosa, qualidade do serviço excepcional. Agilidade e pontualidade perfeitos  | Q4 : Se todas as outras unidades tiverem o mesmo padrão de atendimento das lojas da Rua albion na Lapa e loja no Sup. pastorinho em Pirituba, cliente com 100% de satisfação.
5àsec Alameda Campinas;09/05/19 05:20;Q2 : Muito boa
5àsec Vila Romana;09/05/19 00:25;Q2 : Ótimo atendimento, pontualidade na entrega e satisfeito com o serviço. | Q4 : No momento, não vejo necessidade de melhoria, se continuar assim está ótimo pra mim.
5àsec Carrefour Pirituba;08/05/19 23:50;Q2 : Qualidade e excelência no serviço prestado.  | Q4 : Tudo foi a contento.
5àsec Mooca;08/05/19 21:26;Q2 : Muita demora  | Q4 : Ser mais rápido na entrega das roupas
5àsec Alphaville;08/05/19 21:06;Q2 : Nunca cumprem prazos
5àsec Portal Do Morumbi;08/05/19 20:47;Q2 : Atendimento e serviços otimos | Q4 : Tudo excelente
5àsec Panamby;08/05/19 19:44;Q2 : Atendimento ruim
5àsec Santana;08/05/19 18:04;Q2 : Bom atendimento
5àsec Vila Romana;08/05/19 17:28;Q2 : As funcionárias são atenciosas e fazem a diferença
5àsec Bela Vista Consolacao;08/05/19 17:19;Q2 : Boa nota | Q4 : Está ótimo, assim.
5àsec Penha;08/05/19 16:57;Q2 : adorei o atendimento....me atenderam super bem...obrigada
5àsec Alameda Santos II;08/05/19 16:13;Q2 : Cliente há tempos, sempre tive um bom atendimento. | Q4 : Nada a acrescentar.
5àsec Loefgreen;08/05/19 16:04;"Q2 : Tive vários problemas com entrega, troca de peças e manchas. Gostava muito do serviço mas no último mês deixou muito a desejar | Q4 : Melhorar na entrega e melhorar para não haver troca de peças"
5àsec Regente Feijo;08/05/19 11:22;Q4 : O preço poderia ser menor
5àsec Jardim Avelino;08/05/19 04:55;Q2 : Me mandaram um SMS falando de uma promoção, quando eu fui até a loja da avenida Zelina para deixar minhas roupas a atendente super despreparada disse que a dona não havia passado nada para ela acerca de Promocoes. Minha opinião é que o cliente seja respeitado a 5asec tenha mais respeito com seus clientes
5àsec Planalto Paulista;08/05/19 02:57;Q2 : A atendente é simpática e eficiente
5àsec Jardim Aeroporto;08/05/19 00:45;Q2 : competencia compromisso confiabilidade profissionalismo | Q4 : no momento nada que me lembre
5àsec Shopping Eldorado;07/05/19 22:36;Q2 : Atendimento muito bom e também a qualidade do serviço.
5àsec Cursino;07/05/19 21:32;"Q2 : 2 das 10 camisas que mandei, vieram Com vincos de amassado. Mandei um edredom estes dias e veio bem amassado.:( e teve atraso na entrega do edredom. | Q4 : Passando melhor a roupa"
5àsec Mergenthaler;07/05/19 21:25;Q2 : Excelente atendimento, pontualidade e Esclarecimento do serviço prestado!
5àsec Pinheiros;07/05/19 18:44;Q2 : Excelente atendimento  | Q4 : Esta difícil, seu equipe e muito competente
5àsec Vila Mariana Klabin;07/05/19 18:35;Q2 : Adorei o atendimento e simpatia de todas as meninas.  | Q4 : Entrega gratuita. Pelo preço que pagamos acho que deveriam oferecer esse mimo ( sem tem eu não fui informado )
5àsec Vila Guilherme;07/05/19 17:31;Q2 : Gosto  do trabalho de vocês como também do atendimento.recomendo sim com certeza.
5àsec Paraiso;07/05/19 17:24;Q2 : Ótimo atendimento  | Q4 : Sempre manter este atendimento estará ótimo
5àsec Vila Nova Concei?Ao I;07/05/19 16:46;Q2 : entregaram minha blusa de seda que se perdeu depois de 4 meses. e querem me cobrar ainda.  Tive que comprar outra parair a um casamneto e agora tenho que pagar esta. Um absurdo. Não volto nunca mais . | Q4 : devolver as peças dos clientes.
5àsec Posto Avançado Ana Neri;07/05/19 16:36;Q2 : O atendimento é ruim, a mulher é arrogante, parece que ela está fazendo um favor
5àsec Tremembe;07/05/19 16:22;Q2 : No ato da solicitação do serviço aí meu ver faltou um pouco de delicadeza no tratar do cliente  | Q4 : Cordialidade
5àsec Sumare;07/05/19 16:20;Q2 : Qualidade e atendimento  | Q4 : Desconto !!!
5àsec Vila Guilherme;07/05/19 16:15;Q2 : Atendimento | Q4 : Continuem Assim
5àsec Conselheiro Moreira;07/05/19 16:14;Q2 : Horrível, só não foi pior pq  ameacei a tal sra. que me atendeu que iria acioná-la na justiça por quebra de contrato poraa danos morais e perdas e danos... | Q4 : Para mim frustração e risco a a
5àsec Cambuci;07/05/19 16:13;Q2 : Excelente Atendimento pela Ana  e pontualidade na entrega | Q4 : Oferecer um preço diferenciado, já que sou cliente há algum tempo.
